id;dt;x;y;phi;v;dphi
a1;0.1;0.00721747;64.994;1.5726;1.5;0.0682718
a1;0.2;-0.0996037;79.9875;1.58239;1.5;0.117633
a1;0.3;-0.393265;94.9785;1.59668;1.5;0.160651
a1;0.4;-0.937487;109.962;1.61509;1.5;0.200207
a1;0.5;-1.78948;124.932;1.63706;1.5;0.232267
a1;0.6;-2.99261;139.877;1.66137;1.5;0.248022
a1;0.7;-4.56291;154.788;1.68579;1.5;0.237278
a1;0.8;-6.47491;169.66;1.70721;1.5;0.19299
a1;0.9;-8.65348;184.494;1.72221;1.5;0.115162
a1;1;-10.9767;199.307;1.72789;1.5;0.0128637
a1;1.1;-13.2916;214.122;1.72281;1.5;-0.0955523
a1;1.2;-15.4422;228.96;1.7077;1.5;-0.187249
a1;1.3;-17.2997;243.839;1.6851;1.5;-0.249935
a1;1.4;-18.7757;258.759;1.65765;1.5;-0.289748
a1;1.5;-19.8125;273.717;1.62704;1.5;-0.316787
a1;1.6;-20.371;288.7;1.59426;1.5;-0.334465
a1;1.7;-20.4269;303.693;1.56036;1.5;-0.340616
a1;1.8;-19.975;318.679;1.52673;1.5;-0.330996
a1;1.9;-19.035;333.643;1.49515;1.5;-0.30225
a1;2;-17.6558;348.573;1.46761;1.5;-0.253934
a1;2.1;-15.9146;363.466;1.44588;1.5;-0.18926
a1;2.2;-13.9107;378.325;1.43126;1.5;-0.114791
a1;2.3;-11.7553;393.163;1.42423;1.5;-0.0392223
a1;2.4;-9.55818;407.995;1.42429;1.5;0.0270935
a1;2.5;-7.41287;422.835;1.42996;1.5;0.0750818
a1;2.6;-5.38572;437.691;1.4393;1.5;0.104269
a1;2.7;-3.51809;452.569;1.45091;1.5;0.124336
a1;2.8;-1.84061;467.468;1.46454;1.5;0.145601
a1;2.9;-0.38776;482.392;1.48076;1.5;0.176005
a1;3;0.790889;497.339;1.50085;1.5;0.221117
a1;3.1;1.62328;512.309;1.5264;1.5;0.282195
a1;3.2;2.01522;527.298;1.55866;1.5;0.351823
a1;3.3;1.86503;542.29;1.59742;1.5;0.409787
a1;3.4;1.09693;557.263;1.63982;1.5;0.426727
a1;3.5;-0.296014;572.191;1.68024;1.5;0.378364
a1;3.6;-2.22175;587.061;1.7117;1.5;0.260425
a1;3.7;-4.49097;601.882;1.72822;1.5;0.0927975
a1;3.8;-6.85251;616.689;1.72701;1.5;-0.0851804
a1;3.9;-9.05313;631.52;1.70985;1.5;-0.225123
a1;4;-10.9027;646.399;1.68256;1.5;-0.297736
a1;4.1;-12.3063;661.327;1.65151;1.5;-0.313927
a1;4.2;-13.2455;676.291;1.62084;1.5;-0.298708
a1;4.3;-13.7454;691.276;1.59263;1.5;-0.269332
a1;4.4;-13.8504;706.269;1.56768;1.5;-0.235187
a1;4.5;-13.6114;721.261;1.54618;1.5;-0.201077
a1;4.6;-13.0792;736.245;1.52795;1.5;-0.169309
a1;4.7;-12.3005;751.219;1.51272;1.5;-0.140853
a1;4.8;-11.3171;766.18;1.50012;1.5;-0.11598
a1;4.9;-10.1657;781.13;1.4898;1.5;-0.0946012
a1;5;-8.87733;796.069;1.48142;1.5;-0.076459
a1;5.1;-7.4786;810.997;1.47469;1.5;-0.0612243
a1;5.2;-5.99163;825.917;1.46933;1.5;-0.0485509
a1;5.3;-4.43482;840.83;1.4651;1.5;-0.0381028
a1;5.4;-2.82331;855.737;1.46181;1.5;-0.0295674
a1;5.5;-1.16942;870.64;1.45926;1.5;-0.0226608
a1;5.6;0.516878;885.539;1.45733;1.5;-0.0171293
a1;5.7;2.22762;900.435;1.45588;1.5;-0.0127484
a1;5.8;3.95651;915.329;1.45482;1.5;-0.00932193
a1;5.9;5.69864;930.221;1.45404;1.5;-0.00667896
a1;6;7.45023;945.113;1.4535;1.5;-0.00467212
a1;6.1;9.20841;960.003;1.45312;1.5;-0.00317519
a1;6.2;10.9711;974.893;1.45287;1.5;-0.00208089
a1;6.3;12.7366;989.783;1.45271;1.5;-0.00129874
a1;6.4;14.504;1004.67;1.45261;1.5;-0.000752725
a1;6.5;16.2724;1019.56;1.45256;1.5;-0.000377886
